Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/27/2020,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.555801672,8.401915061,9.352364262,9.45917505,10.74255231,12.09183627,13.63634486,9.093872102,8.857029819,10.10310072,9.027255945,7.33538001,7.237862515,6.75762202,6.3634693,6.160281025,6.161772004,6.082241155,
Cote d'Ivoire,CIV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.245214921,-3.827639325,-3.42246201,-0.857498876,-0.407002578,-0.651437208,-0.444884354,0.271158496,0.916728923,-0.336444149,-6.641118189,8.042352489,6.225706887,6.10311564,6.13206803,5.267910827,4.992709086,4.725692099,
Cameroon,CMR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.649184953,1.505406234,1.808362978,3.944548056,-0.706775436,0.674389717,2.064855524,0.680831686,-0.575806015,0.619379565,1.314427049,1.7265535,2.577710656,3.061836081,2.855766469,1.901024374,0.853486026,1.379191982,
"Congo, Dem. Rep.",COD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.774091088,-0.03120251,2.387603432,3.433175672,2.808811976,1.984891599,2.849852328,2.783842465,-0.500573021,3.598840323,3.366411993,3.571790138,4.927562523,5.895886034,3.442604598,-0.907723407,0.401471108,2.399910664,
"Congo, Rep.",COG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.88258488,1.661059832,-2.043275772,0.424448467,4.415301449,2.764919686,-4.907859458,2.009713885,3.99746567,5.485794479,0.570601587,1.145156182,0.921951607,4.205349659,0.128546659,-5.23741467,-5.559196545,-1.549244028,
Colombia,COL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.096759724,0.950715908,2.393939549,3.850792901,3.302779819,5.41212839,5.537720293,2.049697449,0.085765812,3.256962621,6.327070066,2.970052362,3.621397024,3.676012448,1.761184057,0.708331384,-0.160980396,1.024714856,
Comoros,COM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.158002157,-0.117108885,-0.300216019,-0.47240465,0.416533343,0.222132637,-1.58712863,1.530002524,0.744011366,1.325682766,1.613333795,0.733574939,2.014724713,-0.304632305,-1.229462948,0.961267016,1.481452177,1.140509904,
Cabo Verde,CPV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.466980654,3.530098304,2.560349908,8.58327412,5.431257082,6.571033819,13.74275181,5.368075749,-2.452938768,0.234534183,2.676298838,-0.194322593,-0.480116296,-0.654704681,-0.239305248,3.443556299,2.476708347,3.865935847,
Costa Rica,CRI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.651020457,1.607948413,2.674939862,2.827713386,2.40819857,5.759250942,6.713682506,3.277983602,-2.232638559,3.653246237,3.052918159,3.569356339,1.102147306,2.365020868,2.51140319,3.149324392,2.340034914,1.618061785,
Caribbean small states,CSS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.309550398,2.930537057,5.013223038,3.250559066,3.014246067,6.093236609,2.55155485,0.623535939,-4.274641518,0.556907217,0.310428766,0.550776001,0.061667929,-0.208595326,0.496863967,-2.289678724,-0.81580686,0.65620677,
Cuba,CUB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.831639518,1.108003715,3.519772261,5.571395061,11.09089499,12.0691869,7.358672796,4.24794498,1.544039045,2.398351377,2.703145897,2.827934086,2.514299704,0.831466817,4.273260224,0.422178217,1.771793801,2.258589685,
Curacao,CUW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.007946789,0.274293259,-1.758683522,-1.505339407,-1.858439086,-0.9409622,0.466172919,0.910343817,-1.176897717,-1.176269268,-0.806884969,-0.964264113,-1.912431969,-2.462195476,-1.035883986,-2.030879105,-2.05324118,-1.966607239,
Cayman Islands,CYM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.136865596,-1.475390231,-0.801981992,-1.775105391,3.561902697,1.551056355,0.123787376,-3.237330686,-9.693163172,-5.033074075,-0.938990758,-0.624585601,-0.366635549,1.109176492,1.373692911,1.703957573,1.717664957,,
